Date,Time,Ax,Ay,Az,Gx,Gy,Gz
2025-02-07,00:02:05,0.00,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:06,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:02:07,0.01,0.02,1.00,0.12,0.00,-0.73
2025-02-07,00:02:07,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:02:08,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:02:08,0.01,0.02,1.00,0.00,0.00,-0.73
2025-02-07,00:02:09,0.01,0.02,1.00,0.06,-0.06,-0.73
2025-02-07,00:02:09,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:10,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:02:10,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:11,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:11,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:12,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:12,0.01,0.02,1.00,0.12,-0.06,-0.79
2025-02-07,00:02:13,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:13,0.01,0.02,1.00,0.12,0.00,-0.73
2025-02-07,00:02:14,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:14,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:15,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:15,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:02:16,0.00,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:16,0.01,0.02,1.00,0.12,0.00,-0.73
2025-02-07,00:02:17,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:17,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:18,0.01,0.01,1.00,0.06,0.00,-0.79
2025-02-07,00:02:18,0.00,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:02:19,0.01,0.02,1.00,0.06,-0.06,-0.73
2025-02-07,00:02:19,0.01,0.02,1.00,0.12,0.00,-0.73
2025-02-07,00:02:20,0.00,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:02:20,0.00,0.02,1.00,0.12,-0.06,-0.73
2025-02-07,00:02:21,0.11,0.02,0.86,-2.62,122.92,-12.15
2025-02-07,00:02:21,-0.41,0.16,0.84,-76.05,-47.91,47.24
2025-02-07,00:02:22,-1.26,0.53,0.52,-18.13,-29.05,-213.62
2025-02-07,00:02:22,-1.37,0.78,1.27,80.26,122.19,137.45
2025-02-07,00:02:23,-0.33,0.56,1.40,83.50,23.07,92.59
2025-02-07,00:02:23,-0.49,-1.27,1.75,-10.74,-63.84,-104.98
2025-02-07,00:02:24,1.21,0.66,0.58,13.79,22.40,53.53
2025-02-07,00:02:24,-1.42,1.81,0.63,21.61,41.99,47.06
2025-02-07,00:02:25,-1.00,-0.28,1.55,13.92,-62.74,-63.17
2025-02-07,00:02:25,-0.11,-0.70,0.69,-1.34,16.78,88.32
2025-02-07,00:02:26,-0.15,-1.38,1.37,36.07,-16.11,37.84
2025-02-07,00:02:26,-0.15,-1.61,1.40,28.14,-82.09,-33.20
2025-02-07,00:02:27,-0.98,-1.40,1.14,9.16,-51.57,-40.10
2025-02-07,00:02:27,-0.51,-1.24,1.20,40.47,-44.07,-28.02
2025-02-07,00:02:28,-0.21,-0.79,1.27,10.99,21.00,-16.66
2025-02-07,00:02:28,-0.25,0.38,2.59,-51.15,62.01,-56.34
2025-02-07,00:02:29,0.24,0.16,0.34,-50.60,117.68,-27.71
2025-02-07,00:02:29,0.49,-0.17,-1.40,24.05,-103.76,5.86
2025-02-07,00:02:30,-0.96,1.48,3.27,108.34,-99.79,52.92
2025-02-07,00:02:30,0.12,0.58,1.06,-73.30,188.72,16.60
2025-02-07,00:02:31,0.30,-0.21,-1.38,24.90,5.07,-15.14
2025-02-07,00:02:31,0.91,0.37,-0.04,-90.39,-161.87,-71.04
2025-02-07,00:02:32,1.83,0.38,0.64,-63.78,55.48,170.53
2025-02-07,00:02:32,-0.31,0.47,0.69,4.70,143.49,87.89
2025-02-07,00:02:33,-0.39,1.20,0.86,-61.16,-45.53,-7.69
2025-02-07,00:02:33,-0.27,0.05,0.60,-14.59,-25.57,9.03
2025-02-07,00:02:34,-0.46,-0.86,0.77,27.04,-31.62,-39.00
2025-02-07,00:02:34,0.08,-0.98,1.82,27.59,47.00,-79.47
2025-02-07,00:02:35,-0.97,0.00,1.09,36.38,-34.79,-48.40
2025-02-07,00:02:35,-0.75,-0.86,1.42,37.72,-19.17,-89.11
2025-02-07,00:02:36,0.78,-1.36,1.86,-44.56,-85.63,-77.88
2025-02-07,00:02:36,0.95,-0.53,0.82,-26.79,7.32,24.35
2025-02-07,00:02:37,0.49,0.03,-1.59,-3.17,62.19,18.19
2025-02-07,00:02:37,0.52,-0.16,-0.29,114.38,-96.25,43.21
2025-02-07,00:02:38,-0.63,0.60,3.90,-62.68,41.81,-37.11
2025-02-07,00:02:38,0.19,-0.05,-0.85,-83.80,3.85,-48.28
2025-02-07,00:02:39,-0.32,1.10,0.65,182.56,-153.63,62.26
2025-02-07,00:02:39,-0.25,-1.50,1.36,35.95,-47.36,41.20
2025-02-07,00:02:40,0.20,0.46,0.82,-16.66,-3.54,13.00
2025-02-07,00:02:40,-0.48,2.35,0.95,30.46,151.06,14.53
2025-02-07,00:02:41,-0.21,0.17,0.54,-2.14,30.94,58.41
2025-02-07,00:02:41,-0.62,-1.67,1.44,22.71,-25.57,-54.38
2025-02-07,00:02:42,-0.35,-0.24,1.23,-2.93,-32.59,-25.33
2025-02-07,00:02:42,-0.13,-0.08,0.85,-15.50,5.62,-27.10
2025-02-07,00:02:43,-0.26,0.16,0.90,-22.03,5.86,3.42
2025-02-07,00:02:43,0.00,0.08,1.01,-5.07,53.89,-1.89
2025-02-07,00:02:44,-0.01,0.02,1.01,0.31,1.71,-10.31
2025-02-07,00:02:44,0.01,0.02,1.00,0.06,0.06,-0.73
2025-02-07,00:02:45,0.01,0.02,1.00,0.06,0.12,-0.79
2025-02-07,00:02:45,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:46,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:46,0.01,0.02,1.00,0.06,0.06,-0.79
2025-02-07,00:02:47,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:02:47,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:48,0.01,0.02,1.00,0.12,0.06,-0.79
2025-02-07,00:02:48,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:49,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:49,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:02:50,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:50,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:02:51,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:51,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:52,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:52,0.01,0.01,1.00,0.06,-0.06,-0.79
2025-02-07,00:02:53,0.01,0.02,1.00,0.12,0.00,-0.73
2025-02-07,00:02:53,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:54,0.01,0.02,1.00,0.12,0.00,-0.73
2025-02-07,00:02:54,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:55,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:02:55,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:02:56,0.01,0.02,1.00,0.12,-0.06,-0.79
2025-02-07,00:02:56,0.00,0.02,1.01,0.06,0.12,-0.73
2025-02-07,00:02:57,0.01,0.02,1.00,0.06,0.00,-0.85
2025-02-07,00:02:57,0.01,0.02,1.00,0.12,0.00,-0.79
2025-02-07,00:02:58,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:02:58,0.01,0.02,1.00,0.12,0.00,-0.73
